1.61, 4.84, 167, 0.1151, 0.1871, 4
1.61, 4.85, 573, 0.0375, 0.081, 4
1.59, 4.71, 144, 0.1301, 0.1138, 4
1.6, 4.71, 148, 0.129, 0.1048, 4
1.57, 4.69, 162, 0.1103, 0.2759, 4
1.63, 4.84, 283, 0.0691, 0.1504, 4
1.61, 4.75, 377, 0.0482, 0.1054, 4
1.51, 4.57, 188, 0.1118, 0.1316, 4
1.67, 4.8, 343, 0.06, 0.0933, 4
1.52, 4.51, 984, 0.0214, 0.0973, 4
1.5, 4.49, 566, 0.0342, 0.0885, 4
1.59, 4.66, 209, 0.0865, 0.0919, 4
1.5, 4.45, 190, 0.1161, 0.1484, 4
1.46, 4.31, 242, 0.0694, 0.088, 4
1.53, 4.53, 260, 0.0841, 0.1262, 4
1.58, 4.79, 469, 0.0469, 0.1259, 4
1.6, 4.85, 383, 0.048, 0.1682, 4
1.63, 4.87, 227, 0.0957, 0.0957, 4
1.58, 4.77, 329, 0.0627, 0.1429, 4
1.59, 4.75, 395, 0.0533, 0.2101, 4
1.44, 4.28, 280, 0.0691, 0.0772, 4
1.7, 5.0, 481, 0.0484, 0.109, 4
1.54, 4.63, 222, 0.0867, 0.1173, 4
1.49, 4.45, 289, 0.0732, 0.1504, 4
1.4, 4.38, 192, 0.1006, 0.1006, 4
1.51, 4.47, 1233, 0.0171, 0.0928, 4
1.59, 4.78, 915, 0.0232, 0.0659, 4
1.56, 4.56, 365, 0.05, 0.1156, 4
1.47, 4.42, 617, 0.0361, 0.065, 4
1.5, 4.44, 167, 0.1194, 0.1045, 4
1.48, 4.41, 352, 0.0616, 0.2295, 4
1.58, 4.64, 222, 0.0781, 0.1979, 4
1.53, 4.56, 135, 0.1282, 0.1111, 4
1.65, 4.85, 445, 0.0524, 0.1414, 4
1.55, 4.63, 496, 0.0433, 0.0938, 4
1.56, 4.64, 232, 0.0923, 0.1385, 4
1.53, 4.57, 236, 0.0833, 0.098, 4
1.61, 4.8, 722, 0.0275, 0.104, 4
1.55, 4.58, 219, 0.1016, 0.1818, 4
1.51, 4.5, 129, 0.1228, 0.1228, 4
1.71, 5.04, 434, 0.0456, 0.0937, 4
1.74, 5.11, 240, 0.0845, 0.1174, 4
1.55, 4.79, 211, 0.0874, 0.082, 4
1.62, 4.97, 192, 0.109, 0.0962, 4
1.52, 4.67, 125, 0.1389, 0.1389, 4
1.64, 5.01, 614, 0.0409, 0.1084, 4
1.48, 4.48, 212, 0.0924, 0.1033, 4
1.59, 4.69, 177, 0.1039, 0.1753, 4
1.47, 4.58, 358, 0.064, 0.2189, 4
1.49, 4.49, 166, 0.1088, 0.1224, 4
1.48, 4.57, 1127, 0.0233, 0.0908, 4
1.48, 4.25, 395, 0.0586, 0.2037, 4
1.5, 4.5, 178, 0.1046, 0.0915, 4
1.55, 4.58, 233, 0.0909, 0.1176, 4
1.55, 4.6, 444, 0.0403, 0.1259, 4
1.49, 4.31, 560, 0.0353, 0.2365, 4
1.66, 4.99, 377, 0.0625, 0.0729, 4
1.54, 4.62, 120, 0.14, 0.13, 4
1.51, 4.58, 1671, 0.014, 0.0965, 4
1.5, 4.44, 97, 0.1667, 0.1548, 4
1.57, 4.63, 171, 0.1214, 0.1714, 4
1.66, 5.05, 372, 0.0556, 0.0988, 4
1.6, 4.75, 402, 0.048, 0.1667, 4
1.5, 4.44, 97, 0.1667, 0.1548, 4
1.54, 4.58, 177, 0.106, 0.0993, 4
1.47, 4.48, 336, 0.0588, 0.1176, 4
1.54, 4.71, 367, 0.0584, 0.1201, 4
1.45, 4.29, 201, 0.0952, 0.0893, 4
1.6, 4.76, 366, 0.0547, 0.0836, 4
1.68, 4.92, 275, 0.0749, 0.1278, 4
1.67, 5.03, 522, 0.0349, 0.1699, 4
1.55, 4.55, 172, 0.0946, 0.1081, 4
1.45, 4.45, 207, 0.096, 0.1017, 4
1.49, 4.68, 335, 0.0659, 0.0733, 4
1.6, 4.81, 477, 0.0473, 0.0771, 4
1.55, 4.63, 368, 0.0596, 0.1391, 4
1.73, 5.3, 327, 0.0694, 0.0898, 4
1.48, 4.55, 282, 0.0708, 0.0875, 4
1.53, 4.57, 457, 0.0442, 0.1636, 4
1.54, 4.56, 147, 0.128, 0.128, 4
1.6, 4.71, 105, 0.163, 0.2283, 4
1.58, 4.86, 435, 0.044, 0.1295, 4
1.55, 4.62, 296, 0.0604, 0.0981, 4
1.6, 4.87, 819, 0.0248, 0.0949, 4
1.4, 4.23, 433, 0.0571, 0.0543, 4
1.67, 5.33, 65, 0.2308, 0.1346, 4
1.7, 5.09, 216, 0.0988, 0.1512, 4
1.6, 4.78, 287, 0.0667, 0.1098, 4
1.54, 4.55, 159, 0.1232, 0.1377, 4
1.53, 4.65, 498, 0.0452, 0.1, 4
1.58, 4.68, 200, 0.096, 0.113, 4
1.56, 4.68, 270, 0.0714, 0.084, 4
1.48, 4.48, 114, 0.1458, 0.1458, 4
1.52, 4.58, 246, 0.0829, 0.0599, 4
1.44, 4.24, 218, 0.0909, 0.0856, 4
1.65, 4.95, 258, 0.0817, 0.1298, 4
1.47, 4.6, 508, 0.0433, 0.0866, 4
1.53, 4.68, 240, 0.0833, 0.0784, 4
2.14, 6.29, 8, 1.1429, 0.1429, 4
1.54, 4.38, 323, 0.0667, 0.1556, 4
1.74, 5.17, 462, 0.0476, 0.0802, 4
1.63, 4.92, 145, 0.128, 0.112, 4
1.67, 4.89, 338, 0.0596, 0.1788, 4
1.53, 4.66, 197, 0.0809, 0.104, 4
1.43, 4.17, 233, 0.0863, 0.0863, 4
1.46, 4.43, 213, 0.0952, 0.0794, 4
1.56, 4.65, 170, 0.1277, 0.1489, 4
1.53, 4.63, 122, 0.1373, 0.1275, 4
1.63, 4.93, 1430, 0.0154, 0.0938, 4
