'76.txt', 1.33, 4.18, 377, 0.0552, 0.0184, 1
'242.txt', 1.44, 4.51, 85, 0.1688, 0.0, 1
'250.txt', 1.4, 4.21, 170, 0.1049, 0.021, 1
'132.txt', 1.48, 4.68, 137, 0.1327, 0.0442, 1
'454.txt', 1.45, 4.39, 231, 0.086, 0.0108, 1
'20.txt', 1.54, 4.74, 114, 0.1327, 0.0306, 1
'498.txt', 1.44, 4.44, 194, 0.109, 0.0128, 1
'395.txt', 1.38, 4.57, 68, 0.1897, 0.0, 1
'14.txt', 1.38, 3.96, 108, 0.1649, 0.0309, 1
'418.txt', 1.6, 4.8, 42, 0.52, 0.16, 1
'143.txt', 1.45, 4.4, 51, 0.275, 0.0, 1
'365.txt', 1.45, 4.48, 155, 0.1194, 0.0448, 1
'27.txt', 1.54, 4.87, 82, 0.2143, 0.0, 1
'285.txt', 1.51, 4.49, 258, 0.0821, 0.0048, 1
'138.txt', 1.39, 4.39, 167, 0.1049, 0.0, 1
'233.txt', 1.39, 4.19, 209, 0.0862, 0.0, 1
'85.txt', 1.62, 4.78, 83, 0.2192, 0.0, 1
'70.txt', 1.5, 4.66, 255, 0.0826, 0.0, 1
'55.txt', 1.66, 4.81, 124, 0.1321, 0.0189, 1
'499.txt', 1.49, 4.5, 146, 0.1475, 0.0, 1
'86.txt', 1.42, 4.36, 154, 0.1168, 0.0146, 1
'294.txt', 1.49, 4.68, 55, 0.2553, 0.2553, 1
'157.txt', 1.35, 4.35, 101, 0.1348, 0.0899, 1
'348.txt', 1.48, 4.15, 38, 0.4242, 0.0, 1
'453.txt', 1.25, 4.09, 195, 0.087, 0.0497, 1
'241.txt', 1.62, 4.84, 294, 0.0586, 0.0117, 1
'367.txt', 1.45, 4.3, 97, 0.1928, 0.0241, 1
'299.txt', 1.45, 4.38, 132, 0.1339, 0.0357, 1
'326.txt', 1.42, 4.28, 278, 0.0664, 0.0456, 1
'37.txt', 1.43, 4.34, 262, 0.0802, 0.0142, 1
'234.txt', 1.46, 4.59, 91, 0.1707, 0.0, 1
'107.txt', 1.4, 4.37, 328, 0.0586, 0.011, 1
'74.txt', 1.53, 4.85, 230, 0.0867, 0.0255, 1
'427.txt', 1.49, 4.61, 258, 0.0721, 0.0, 1
'61.txt', 1.5, 5.1, 97, 0.1512, 0.0, 1
'460.txt', 1.56, 4.7, 134, 0.1389, 0.0, 1
'442.txt', 1.46, 4.5, 158, 0.128, 0.008, 1
'30.txt', 1.4, 4.29, 117, 0.1596, 0.0426, 1
'342.txt', 1.47, 4.26, 127, 0.1429, 0.0, 1
'229.txt', 1.51, 4.81, 43, 0.3784, 0.0, 1
'270.txt', 1.49, 4.6, 292, 0.068, 0.008, 1
'93.txt', 1.5, 4.38, 57, 0.22, 0.0, 1
'199.txt', 1.55, 4.7, 265, 0.0693, 0.026, 1
'111.txt', 1.53, 4.57, 285, 0.0763, 0.0, 1
'183.txt', 1.59, 4.61, 51, 0.25, 0.0, 1
'421.txt', 1.58, 4.64, 225, 0.089, 0.0366, 1
'168.txt', 1.44, 4.42, 52, 0.2667, 0.0, 1
'476.txt', 1.52, 4.61, 126, 0.1321, 0.0377, 1
'52.txt', 1.55, 4.73, 110, 0.1829, 0.0, 1
'141.txt', 1.49, 4.51, 147, 0.112, 0.088, 1
'280.txt', 1.57, 4.73, 33, 0.4, 0.0, 1
'364.txt', 1.45, 4.66, 219, 0.0874, 0.0219, 1
'478.txt', 1.38, 4.44, 249, 0.0725, 0.0, 1
