Filename,NP/S,VP/S,PP/S,NPlen,VPlen,PPlen,cli,fks
133.txt, 2.2, 1.1, 0.9, 1.95, 1.0, 1.0, 12.428, 34.674
120.txt, 3.77, 2.04, 0.88, 1.66, 1.64, 1.0, 9.294, 60.533
240.txt, 3.22, 1.33, 0.89, 1.59, 1.0, 1.0, 17.068, 10.913
468.txt, 3.16, 1.53, 1.05, 2.07, 1.52, 1.0, 9.701, 46.237
178.txt, 3.0, 1.35, 0.61, 1.8, 1.57, 1.0, 9.672, 52.672
15.txt, 4.25, 2.25, 0.88, 1.68, 1.72, 1.0, 12.296, 36.041
70.txt, 4.26, 1.68, 1.42, 1.96, 1.72, 1.0, 11.518, 47.242
442.txt, 2.61, 1.11, 0.89, 1.85, 1.25, 1.0, 12.359, 34.766
117.txt, 3.0, 1.4, 0.88, 1.68, 1.46, 1.0, 12.473, 40.792
359.txt, 3.14, 1.64, 0.79, 1.89, 1.7, 1.0, 13.948, 39.235
459.txt, 2.91, 1.27, 0.64, 1.91, 1.64, 1.14, 11.339, 34.113
20.txt, 3.18, 1.36, 1.0, 1.71, 1.53, 1.0, 12.932, 37.038
35.txt, 4.07, 1.86, 1.29, 1.7, 1.65, 1.0, 12.158, 43.39
490.txt, 3.55, 1.64, 0.82, 1.92, 1.44, 1.0, 13.99, 37.048
349.txt, 2.59, 1.41, 0.53, 1.91, 1.29, 1.0, 15.778, 10.041
353.txt, 3.07, 1.67, 0.74, 1.76, 1.44, 1.0, 10.05, 50.6
28.txt, 3.62, 1.46, 1.0, 1.74, 1.37, 1.0, 11.068, 48.641
167.txt, 2.94, 1.25, 0.88, 1.85, 1.4, 1.0, 10.748, 38.556
124.txt, 2.86, 1.43, 0.71, 1.55, 1.2, 1.0, 11.688, 33.722
417.txt, 3.0, 1.39, 0.78, 1.74, 1.28, 1.0, 11.563, 43.142
163.txt, 2.67, 1.33, 0.67, 2.38, 1.08, 1.0, 15.562, 27.549
191.txt, 2.2, 1.2, 0.4, 2.64, 1.67, 1.0, 12.663, 37.9
282.txt, 3.74, 1.57, 1.09, 1.87, 1.44, 1.0, 11.268, 45.515
186.txt, 3.45, 1.7, 0.85, 1.67, 1.32, 1.0, 10.557, 55.685
269.txt, 4.14, 1.43, 1.0, 2.21, 1.2, 1.0, 13.65, 34.855
474.txt, 3.41, 1.94, 0.76, 1.57, 1.55, 1.0, 10.907, 47.984
274.txt, 2.71, 1.5, 0.67, 2.2, 1.56, 1.0, 11.956, 42.659
9.txt, 2.94, 1.78, 0.67, 1.81, 1.81, 1.0, 9.263, 50.995
83.txt, 3.56, 1.44, 1.44, 2.06, 1.38, 1.0, 11.242, 42.897
469.txt, 3.2, 1.4, 0.96, 1.82, 1.54, 1.0, 10.313, 47.648
483.txt, 3.59, 1.59, 0.86, 1.55, 1.35, 1.0, 11.934, 33.845
448.txt, 3.64, 1.71, 0.64, 1.45, 1.79, 1.0, 12.36, 46.673
11.txt, 3.8, 1.7, 1.0, 1.71, 1.24, 1.0, 13.877, 37.045
322.txt, 3.8, 1.6, 0.6, 2.0, 1.5, 1.0, 13.873, 28.229
291.txt, 2.75, 1.75, 0.5, 1.91, 1.64, 1.0, 11.291, 58.449
252.txt, 2.75, 1.38, 0.88, 2.68, 1.09, 1.0, 13.404, 37.541
113.txt, 4.0, 1.86, 1.24, 1.58, 1.82, 1.0, 11.639, 45.573
435.txt, 2.43, 1.35, 0.57, 1.7, 1.48, 1.0, 12.56, 32.567
154.txt, 2.67, 1.5, 0.5, 1.81, 1.33, 1.0, 15.306, 22.88
231.txt, 3.55, 1.55, 1.03, 1.82, 1.48, 1.0, 11.894, 43.656
462.txt, 3.25, 1.75, 1.13, 2.15, 1.86, 1.0, 13.077, 33.747
352.txt, 4.25, 1.5, 1.75, 2.29, 1.75, 1.0, 13.586, 37.525
221.txt, 3.17, 1.83, 0.67, 1.63, 1.64, 1.0, 11.061, 46.285
264.txt, 2.25, 1.75, 0.75, 1.89, 1.57, 1.0, 12.573, 38.518
324.txt, 3.2, 1.43, 0.9, 1.66, 1.49, 1.0, 11.016, 53.87
234.txt, 6.25, 2.75, 2.5, 2.12, 1.36, 1.0, 11.35, 46.534
408.txt, 3.79, 1.79, 1.14, 1.58, 1.68, 1.0, 9.861, 55.919
406.txt, 2.14, 1.14, 0.71, 1.93, 1.38, 1.0, 14.794, 16.164
170.txt, 2.84, 1.08, 1.32, 1.55, 1.11, 1.0, 12.897, 44.261
465.txt, 2.93, 1.26, 0.93, 1.68, 1.44, 1.0, 14.486, 21.792
409.txt, 2.77, 1.15, 0.92, 1.81, 1.33, 1.0, 12.923, 34.215
386.txt, 3.46, 1.46, 0.88, 1.63, 1.37, 1.0, 11.236, 36.754
93.txt, 2.0, 1.14, 1.0, 1.79, 1.25, 1.0, 12.376, 30.53
42.txt, 3.42, 1.5, 1.25, 1.76, 1.28, 1.0, 10.263, 53.085
218.txt, 2.97, 1.29, 1.19, 1.43, 1.55, 1.03, 11.858, 41.697
73.txt, 2.75, 1.0, 0.63, 2.41, 1.13, 1.0, 13.653, 47.578
251.txt, 1.86, 1.14, 0.43, 1.92, 1.13, 1.0, 17.368, 19.208
57.txt, 3.0, 1.29, 1.14, 2.0, 2.22, 1.0, 11.349, 46.817
320.txt, 3.17, 1.83, 0.67, 2.42, 1.09, 1.0, 12.513, 43.134
31.txt, 3.52, 1.48, 1.19, 2.15, 1.65, 1.0, 12.426, 38.112
453.txt, 3.22, 1.61, 0.72, 1.88, 1.52, 1.0, 8.696, 60.77
383.txt, 3.27, 1.27, 1.36, 2.17, 1.07, 1.0, 10.465, 37.624
87.txt, 5.78, 2.7, 1.7, 1.74, 1.61, 1.0, 11.572, 40.884
17.txt, 3.25, 1.17, 1.5, 2.13, 1.43, 1.06, 10.62, 47.777
232.txt, 3.26, 1.33, 1.52, 2.25, 1.25, 1.0, 11.445, 49.44
109.txt, 3.89, 1.89, 0.67, 2.4, 1.24, 1.0, 11.589, 48.871
333.txt, 2.6, 1.13, 0.9, 2.01, 1.53, 1.0, 9.856, 51.378
461.txt, 2.85, 1.81, 0.59, 1.68, 1.55, 1.0, 10.774, 50.78
330.txt, 2.0, 0.83, 0.42, 2.0, 1.3, 1.0, 15.822, 14.161
367.txt, 2.6, 1.1, 1.0, 2.12, 1.55, 1.0, 10.766, 41.374
180.txt, 2.63, 1.63, 0.88, 1.76, 1.38, 1.0, 11.181, 50.763
166.txt, 4.28, 2.0, 1.28, 1.68, 1.47, 1.0, 11.934, 49.955
401.txt, 2.71, 1.42, 0.58, 1.94, 1.45, 1.0, 11.824, 40.369
161.txt, 4.29, 1.71, 0.88, 2.1, 1.83, 1.0, 11.634, 39.615
304.txt, 2.52, 1.0, 0.95, 1.77, 1.1, 1.0, 15.355, 24.544
122.txt, 3.57, 1.54, 1.11, 1.75, 1.53, 1.0, 10.867, 47.008
336.txt, 3.6, 1.9, 0.9, 1.67, 1.37, 1.0, 12.125, 46.815
194.txt, 2.8, 1.4, 0.8, 1.79, 1.43, 1.0, 16.585, 19.678
126.txt, 3.24, 1.48, 1.0, 1.69, 1.68, 1.0, 13.149, 44.32
55.txt, 4.78, 2.11, 1.11, 1.53, 1.47, 1.0, 13.124, 32.076
260.txt, 1.75, 1.0, 1.0, 1.86, 1.25, 1.0, 14.333, 33.259
482.txt, 3.13, 1.38, 0.88, 1.72, 1.55, 1.0, 15.219, 20.806
423.txt, 4.2, 1.8, 1.1, 2.29, 1.5, 1.09, 10.885, 52.499
121.txt, 2.96, 1.29, 0.71, 1.65, 1.39, 1.0, 14.15, 32.523
412.txt, 2.33, 1.17, 0.5, 1.86, 1.43, 1.0, 13.942, 10.128
445.txt, 3.58, 1.33, 0.75, 1.86, 1.38, 1.0, 13.068, 37.328
478.txt, 2.7, 1.3, 0.93, 1.66, 1.37, 1.0, 12.34, 40.718
303.txt, 3.0, 1.29, 0.57, 2.19, 1.11, 1.0, 13.433, 39.321
204.txt, 2.86, 1.29, 0.52, 1.83, 1.44, 1.0, 12.195, 28.59
273.txt, 4.22, 1.39, 1.57, 1.91, 1.41, 1.0, 11.53, 46.895
203.txt, 2.86, 1.36, 0.57, 2.13, 1.37, 1.0, 13.077, 43.584
62.txt, 4.91, 2.18, 1.82, 1.93, 1.5, 1.0, 11.145, 46.304
148.txt, 3.59, 1.38, 1.52, 1.82, 1.55, 1.0, 10.141, 50.305
337.txt, 4.13, 2.0, 1.25, 1.7, 1.88, 1.0, 13.282, 44.575
477.txt, 4.1, 1.5, 1.6, 2.07, 1.4, 1.0, 11.45, 42.511
464.txt, 4.1, 1.8, 1.2, 1.63, 1.83, 1.0, 12.513, 46.466
77.txt, 2.8, 1.1, 0.6, 1.96, 1.09, 1.0, 12.851, 41.872
389.txt, 2.83, 1.22, 0.44, 1.88, 1.36, 1.0, 11.358, 33.595
262.txt, 3.13, 1.38, 1.13, 1.84, 1.36, 1.0, 12.307, 39.932
24.txt, 2.78, 1.56, 0.56, 2.16, 1.57, 1.0, 13.377, 32.39
433.txt, 1.85, 1.31, 0.31, 1.5, 1.24, 1.0, 14.555, 37.995
284.txt, 3.7, 1.57, 0.87, 1.47, 1.33, 1.0, 11.2, 41.575
10.txt, 3.36, 1.64, 0.36, 1.46, 1.44, 1.0, 14.754, 36.96
302.txt, 3.41, 2.06, 1.12, 1.79, 1.6, 1.0, 10.837, 50.089
213.txt, 3.2, 1.6, 0.6, 1.75, 1.25, 1.0, 14.345, 43.213
428.txt, 4.0, 1.88, 1.0, 1.72, 1.47, 1.0, 14.931, 22.811
150.txt, 2.95, 1.57, 0.67, 1.65, 1.91, 1.0, 13.221, 38.377
307.txt, 2.65, 1.23, 0.92, 2.04, 1.59, 1.0, 11.678, 43.172
27.txt, 3.0, 1.75, 1.0, 1.5, 1.57, 1.0, 15.03, 31.796
