Filename,NP/S,VP/S,PP/S,NPlen,VPlen,PPlen,cli,fks
133.txt, 3.88, 2.0, 1.38, 1.81, 1.75, 1.0, 11.628, 48.342
120.txt, 6.11, 2.78, 1.11, 2.0, 1.8, 1.0, 13.775, 34.302
240.txt, 3.71, 1.71, 1.38, 2.02, 1.66, 1.03, 11.451, 44.808
468.txt, 3.78, 1.53, 1.22, 1.82, 1.54, 1.0, 14.458, 26.797
178.txt, 5.48, 1.94, 2.32, 1.96, 1.52, 1.0, 14.201, 32.501
15.txt, 4.85, 2.0, 1.23, 1.86, 1.46, 1.0, 10.038, 52.798
70.txt, 3.0, 1.29, 1.29, 2.14, 1.22, 1.0, 15.444, 24.471
442.txt, 5.21, 1.86, 2.07, 1.88, 1.77, 1.0, 13.221, 35.973
117.txt, 4.86, 1.57, 2.29, 1.85, 1.64, 1.0, 11.38, 39.421
359.txt, 4.33, 1.72, 1.44, 1.79, 1.68, 1.0, 12.306, 42.007
459.txt, 3.64, 1.64, 0.97, 1.88, 1.42, 1.0, 12.429, 42.696
20.txt, 5.82, 2.64, 1.36, 1.88, 1.47, 1.0, 11.123, 43.414
35.txt, 5.42, 2.08, 2.25, 1.91, 1.56, 1.0, 10.048, 44.544
490.txt, 4.59, 1.94, 1.41, 1.59, 1.55, 1.0, 13.801, 30.523
349.txt, 4.17, 1.42, 1.71, 2.05, 1.38, 1.05, 13.123, 34.302
353.txt, 4.67, 1.89, 1.67, 1.93, 1.29, 1.0, 10.967, 51.498
28.txt, 4.32, 1.97, 1.23, 1.91, 1.44, 1.0, 12.702, 39.61
167.txt, 5.37, 2.13, 1.77, 1.94, 1.61, 1.0, 14.33, 37.193
124.txt, 5.3, 1.6, 1.7, 1.74, 1.56, 1.06, 13.849, 34.265
417.txt, 3.96, 1.74, 1.52, 2.1, 1.82, 1.0, 12.637, 42.725
163.txt, 5.5, 2.36, 1.36, 1.83, 1.76, 1.0, 12.896, 38.864
191.txt, 2.5, 1.5, 0.9, 1.88, 2.27, 1.0, 11.966, 42.414
282.txt, 4.75, 2.1, 1.75, 1.89, 1.48, 1.0, 13.507, 38.051
186.txt, 4.1, 1.5, 1.4, 1.95, 1.53, 1.0, 11.49, 42.243
269.txt, 4.13, 1.44, 1.5, 1.91, 1.96, 1.0, 11.177, 46.597
474.txt, 4.91, 2.36, 1.0, 1.65, 1.46, 1.0, 12.284, 40.647
274.txt, 4.92, 2.0, 1.67, 1.95, 1.5, 1.0, 13.736, 31.65
9.txt, 3.67, 1.89, 0.89, 2.27, 1.47, 1.0, 12.804, 39.68
83.txt, 5.83, 2.28, 1.83, 1.75, 1.61, 1.0, 11.578, 40.365
469.txt, 4.28, 1.96, 1.2, 2.05, 1.69, 1.0, 13.891, 39.8
