Filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv, modv,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C,class
152.txt,11,75,38,57,36,117,51,77,49,0.66,0.64,0.51,0.67,6.67,1.83,75,35,39.20,36.90,0.64,0.73,4.90,6.93,0.91,22.15,0.74,0.80,9.60,2.19,0.16,0.70,0.09,0.01,0.10,115,11,13,11,11,0,0,4,13,10.4545,10.4545,10.4545,1.0000,1.1818,1.0000,0.0000,0.0000,1.0000,0.0000,0.3636,0.3636,1.1818,1.1818,2
388.txt,12,72,25,41,23,124,40,63,38,0.51,0.60,0.35,0.53,4.76,1.54,72,34,36.60,36.70,0.58,0.71,4.57,6.47,0.89,18.56,0.65,0.71,8.47,2.06,0.19,0.60,0.06,0.00,0.06,122,12,14,14,12,2,2,1,12,10.1667,10.1667,8.7143,1.1667,1.1667,1.1667,0.1429,0.1667,1.0000,0.1667,0.0833,0.0714,1.0000,0.8571,2
218.txt,24,146,57,91,51,240,88,132,80,0.55,0.61,0.39,0.36,5.69,1.69,146,45,42.10,39.70,0.61,0.84,6.66,9.42,0.91,26.25,0.69,0.62,17.42,2.95,0.21,0.68,0.10,0.02,0.12,234,24,37,31,24,7,7,6,23,9.7500,9.7500,7.5484,1.2917,1.5417,1.2917,0.2258,0.2917,1.0000,0.2917,0.2500,0.1935,0.9583,0.7419,2
241.txt,30,162,59,112,59,318,102,178,102,0.56,0.57,0.36,0.28,3.67,1.36,162,38,40.20,38.40,0.51,0.75,6.42,9.08,0.88,21.38,0.63,0.59,15.85,2.81,0.15,0.60,0.11,0.02,0.13,318,30,45,35,29,6,6,3,35,10.6000,10.9655,9.0857,1.1667,1.5517,1.2069,0.1714,0.2069,0.9667,0.2069,0.1034,0.0857,1.2069,1.0000,2
51.txt,6,69,25,47,25,88,32,56,32,0.64,0.57,0.36,0.38,2.25,1.06,69,42,42.80,43.30,0.78,0.84,5.20,7.36,0.95,35.79,0.84,0.75,9.00,2.12,0.21,0.87,0.11,0.04,0.14,88,6,13,12,6,6,4,4,12,14.6667,14.6667,7.3333,2.0000,2.1667,2.0000,0.5000,1.0000,1.0000,0.6667,0.6667,0.3333,2.0000,1.0000,2
418.txt,12,80,33,49,31,128,51,75,49,0.59,0.65,0.41,0.53,4.27,1.46,80,37,37.70,38.50,0.62,0.75,5.00,7.07,0.90,21.75,0.65,0.67,6.67,1.83,0.13,0.69,0.08,0.00,0.08,126,12,15,14,12,3,2,6,14,10.5000,10.5000,9.0000,1.1667,1.2500,1.1667,0.2143,0.2500,1.0000,0.1667,0.5000,0.4286,1.1667,1.0000,2
59.txt,9,73,31,42,24,93,42,53,35,0.57,0.66,0.42,0.44,3.56,1.33,73,42,43.60,43.00,0.78,0.84,5.35,7.57,0.95,36.85,0.79,0.83,12.50,2.50,0.28,0.75,0.08,0.04,0.11,91,9,15,11,9,1,1,4,7,10.1111,10.1111,8.2727,1.2222,1.6667,1.2222,0.0909,0.1111,1.0000,0.1111,0.4444,0.3636,0.7778,0.6364,2
495.txt,13,103,46,66,41,148,60,83,54,0.56,0.65,0.45,0.50,7.50,1.94,103,39,42.30,41.30,0.70,0.77,5.99,8.47,0.93,29.92,0.80,0.80,19.20,3.10,0.29,0.78,0.07,0.01,0.08,146,13,27,18,13,4,4,1,13,11.2308,11.2308,8.1111,1.3846,2.0769,1.3846,0.2222,0.3077,1.0000,0.3077,0.0769,0.0556,1.0000,0.7222,2
372.txt,14,94,44,61,41,127,52,72,49,0.57,0.68,0.47,0.47,4.26,1.46,94,39,42.60,44.10,0.74,0.82,5.90,8.34,0.94,33.87,0.85,0.79,11.84,2.43,0.21,0.86,0.14,0.01,0.15,125,14,17,15,14,1,1,3,14,8.9286,8.9286,8.3333,1.0714,1.2143,1.0714,0.0667,0.0714,1.0000,0.0714,0.2143,0.2000,1.0000,0.9333,2
108.txt,4,41,21,29,20,45,22,30,21,0.67,0.70,0.51,0.78,5.44,1.65,41,41,41,41,0.91,0.91,4.32,6.11,0.98,67.60,0.97,0.89,7.11,1.89,0.27,1.00,0.07,0.00,0.07,45,4,5,4,4,0,0,2,3,11.2500,11.2500,11.2500,1.0000,1.2500,1.0000,0.0000,0.0000,1.0000,0.0000,0.5000,0.5000,0.7500,0.7500,2
229.txt,25,140,62,94,57,259,110,152,100,0.59,0.66,0.44,0.40,8.48,2.06,140,41,41.40,38.90,0.54,0.77,6.15,8.70,0.89,21.80,0.62,0.62,19.69,3.14,0.21,0.59,0.09,0.01,0.10,255,25,46,37,26,11,9,6,27,10.2000,9.8077,6.8919,1.4800,1.7692,1.4231,0.2973,0.4231,1.0400,0.3462,0.2308,0.1622,1.0385,0.7297,2
493.txt,30,192,86,143,81,355,122,214,113,0.60,0.53,0.45,0.39,8.17,2.02,192,39,42.70,39.30,0.54,0.80,7.21,10.19,0.90,24.36,0.67,0.70,26.74,3.66,0.18,0.71,0.08,0.01,0.09,351,30,50,42,30,12,7,6,47,11.7000,11.7000,8.3571,1.4000,1.6667,1.4000,0.2857,0.4000,1.0000,0.2333,0.2000,0.1429,1.5667,1.1190,2
42.txt,8,78,38,52,33,124,45,63,40,0.51,0.63,0.49,0.55,6.05,1.74,78,35,36.80,35.90,0.63,0.71,4.95,7.00,0.90,21.77,0.83,0.80,12.80,2.53,0.25,0.81,0.06,0.05,0.11,120,8,14,11,8,3,3,5,14,15.0000,15.0000,10.9091,1.3750,1.7500,1.3750,0.2727,0.3750,1.0000,0.3750,0.6250,0.4545,1.7500,1.2727,2
92.txt,7,66,22,43,22,84,25,47,25,0.56,0.53,0.33,0.58,4.08,1.43,66,43,42.90,42.50,0.79,0.86,5.09,7.20,0.95,35.35,0.91,0.92,10.08,2.25,0.23,0.93,0.06,0.04,0.11,84,7,11,10,7,3,2,4,9,12.0000,12.0000,8.4000,1.4286,1.5714,1.4286,0.3000,0.4286,1.0000,0.2857,0.5714,0.4000,1.2857,0.9000,2
337.txt,6,38,17,28,17,50,18,31,18,0.62,0.58,0.45,0.50,2.00,1.00,38,38,38.00,38.00,0.76,0.76,3.80,5.37,0.93,24.22,0.90,1.00,8.00,2.00,0.26,0.90,0.03,0.03,0.06,50,6,8,7,6,2,2,2,6,8.3333,8.3333,7.1429,1.1667,1.3333,1.1667,0.2857,0.3333,1.0000,0.3333,0.3333,0.2857,1.0000,0.8571,2
117.txt,4,36,11,18,9,43,13,20,10,0.47,0.50,0.31,0.17,0.17,0.29,36,36,36,36,0.84,0.84,3.88,5.49,0.95,34.58,0.90,0.67,2.67,1.15,0.20,1.00,0.10,0.05,0.15,43,4,7,6,5,1,1,2,2,10.7500,8.6000,7.1667,1.5000,1.4000,1.2000,0.1667,0.2000,1.2500,0.2000,0.4000,0.3333,0.4000,0.3333,2
23.txt,1,23,16,20,16,25,16,20,16,0.80,0.80,0.70,1.00,1.00,0.71,23,23,23,23,0.92,0.92,3.25,4.60,0.97,53.97,1.00,1.00,1.00,0.71,0.05,1.00,0.00,0.00,0.00,25,1,1,1,1,0,0,2,3,25.0000,25.0000,25.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.0000,2.0000,2.0000,3.0000,3.0000,2
381.txt,13,90,34,57,31,127,48,73,41,0.57,0.56,0.38,0.47,3.27,1.28,90,40,43.40,37.90,0.71,0.77,5.65,7.99,0.93,29.59,0.78,0.87,11.27,2.37,0.18,0.73,0.11,0.01,0.12,121,13,13,14,12,2,2,3,17,9.3077,10.0833,8.6429,1.0769,1.0833,1.1667,0.1429,0.1667,0.9231,0.1667,0.2500,0.2143,1.4167,1.2143,2
44.txt,10,81,41,50,37,138,67,78,59,0.57,0.76,0.51,0.71,8.47,2.06,81,36,38.80,38.10,0.59,0.74,4.88,6.90,0.89,19.79,0.64,0.88,13.24,2.57,0.19,0.54,0.06,0.00,0.06,132,10,13,12,11,1,1,2,15,13.2000,12.0000,11.0000,1.2000,1.1818,1.0909,0.0833,0.0909,1.1000,0.0909,0.1818,0.1667,1.3636,1.2500,2
293.txt,15,109,44,70,39,159,54,88,49,0.55,0.56,0.40,0.50,7.00,1.87,109,46,43.10,41.30,0.69,0.85,6.11,8.64,0.93,29.55,0.80,0.89,22.32,3.34,0.28,0.74,0.07,0.02,0.09,157,15,24,21,15,5,4,3,14,10.4667,10.4667,7.4762,1.4000,1.6000,1.4000,0.2381,0.3333,1.0000,0.2667,0.2000,0.1429,0.9333,0.6667,2
484.txt,31,189,83,136,80,323,124,179,114,0.55,0.64,0.44,0.52,11.52,2.40,189,35,41.30,40.20,0.59,0.82,7.44,10.52,0.91,27.05,0.76,0.67,18.67,3.06,0.16,0.76,0.16,0.03,0.20,317,31,45,39,31,6,6,8,38,10.2258,10.2258,8.1282,1.2581,1.4516,1.2581,0.1538,0.1935,1.0000,0.1935,0.2581,0.2051,1.2258,0.9744,2
211.txt,28,168,68,111,63,319,115,172,106,0.54,0.62,0.40,0.46,12.07,2.46,168,40,40.60,39.70,0.53,0.81,6.65,9.41,0.89,22.51,0.65,0.70,27.16,3.69,0.23,0.58,0.05,0.02,0.08,316,28,47,40,29,9,8,9,30,11.2857,10.8966,7.9000,1.4286,1.6207,1.3793,0.2250,0.3103,1.0357,0.2759,0.3103,0.2250,1.0345,0.7500,2
