Filename,sentences,wordtypes,swordtypes,lextypes,slextypes,wordtokens,swordtokens,lextokens,slextokens,ld,ls1,ls2,vs1,vs2,cvs1,ndw,ndwz,ndwerz,ndwesz,ttr,msttr,cttr,rttr,logttr,uber,lv,vv1,svv1,cvv1,vv2,nv,adjv,advv, modv,W,S,VP,C,T,DC,CT,CP,CN,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C,class
152.txt,14,92,46,62,45,154,68,90,67,0.58,0.74,0.50,0.50,7.00,1.87,92,33,39.00,36.60,0.60,0.75,5.24,7.41,0.90,21.39,0.69,0.61,10.32,2.27,0.19,0.70,0.08,0.02,0.10,154,14,20,20,15,5,6,2,18,11.0000,10.2667,7.7000,1.4286,1.3333,1.3333,0.2500,0.3333,1.0714,0.4000,0.1333,0.1000,1.2000,0.9000,3
388.txt,13,118,50,76,44,197,74,111,65,0.56,0.59,0.42,0.55,8.83,2.10,118,43,40.10,42.20,0.60,0.83,5.94,8.41,0.90,23.65,0.68,0.72,15.21,2.76,0.19,0.65,0.10,0.03,0.13,191,13,29,25,14,10,7,3,22,14.6923,13.6429,7.6400,1.9231,2.0714,1.7857,0.4000,0.7143,1.0769,0.5000,0.2143,0.1200,1.5714,0.8800,3
218.txt,8,69,29,40,27,114,42,53,38,0.46,0.72,0.42,0.50,5.00,1.58,69,40,39.70,38.80,0.61,0.78,4.57,6.46,0.89,19.40,0.75,0.85,14.45,2.69,0.32,0.67,0.04,0.02,0.06,110,8,20,18,10,5,4,2,11,13.7500,11.0000,6.1111,2.2500,2.0000,1.8000,0.2778,0.5000,1.2500,0.4000,0.2000,0.1111,1.1000,0.6111,3
241.txt,14,131,59,86,54,203,80,111,73,0.55,0.66,0.45,0.65,12.90,2.54,131,38,42.30,41.90,0.65,0.84,6.50,9.19,0.92,27.99,0.77,0.90,25.29,3.56,0.25,0.70,0.08,0.02,0.10,197,14,27,22,14,7,6,4,14,14.0714,14.0714,8.9545,1.5714,1.9286,1.5714,0.3182,0.5000,1.0000,0.4286,0.2857,0.1818,1.0000,0.6364,3
51.txt,31,214,84,144,78,430,130,237,115,0.55,0.49,0.39,0.46,12.36,2.49,214,37,40.70,36.90,0.50,0.76,7.30,10.32,0.88,22.88,0.61,0.75,32.81,4.05,0.19,0.57,0.10,0.01,0.11,422,31,56,47,33,13,11,6,47,13.6129,12.7879,8.9787,1.5161,1.6970,1.4242,0.2766,0.3939,1.0645,0.3333,0.1818,0.1277,1.4242,1.0000,3
418.txt,24,165,62,114,60,336,112,186,110,0.55,0.59,0.38,0.33,7.00,1.87,165,43,41.20,40.30,0.49,0.80,6.37,9.00,0.88,20.66,0.61,0.60,22.92,3.39,0.20,0.60,0.08,0.04,0.12,334,24,53,41,25,14,12,11,26,13.9167,13.3600,8.1463,1.7083,2.1200,1.6400,0.3415,0.5600,1.0417,0.4800,0.4400,0.2683,1.0400,0.6341,3
59.txt,18,138,45,88,39,253,50,129,42,0.51,0.33,0.33,0.46,7.31,1.91,138,44,40.30,41.10,0.55,0.80,6.13,8.68,0.89,21.94,0.68,0.86,25.71,3.59,0.23,0.59,0.06,0.03,0.09,247,18,38,24,16,11,7,8,17,13.7222,15.4375,10.2917,1.3333,2.3750,1.5000,0.4583,0.6875,0.8889,0.4375,0.5000,0.3333,1.0625,0.7083,3
495.txt,43,333,158,255,151,697,272,408,240,0.59,0.59,0.47,0.37,18.38,3.03,333,45,43.20,43.30,0.48,0.83,8.92,12.61,0.89,25.20,0.62,0.63,54.38,5.21,0.21,0.65,0.10,0.02,0.12,679,43,98,75,43,26,17,24,92,15.7907,15.7907,9.0533,1.7442,2.2791,1.7442,0.3467,0.6047,1.0000,0.3953,0.5581,0.3200,2.1395,1.2267,3
372.txt,10,85,41,55,38,163,72,90,63,0.55,0.70,0.48,0.65,7.12,1.89,85,36,37.00,34.60,0.52,0.69,4.71,6.66,0.87,17.31,0.61,0.76,9.94,2.23,0.14,0.58,0.06,0.01,0.07,161,10,14,13,12,1,1,5,23,16.1000,13.4167,12.3846,1.3000,1.1667,1.0833,0.0769,0.0833,1.2000,0.0833,0.4167,0.3846,1.9167,1.7692,3
108.txt,48,232,104,155,96,450,158,235,146,0.52,0.62,0.45,0.43,16.41,2.86,232,38,41.70,37.00,0.52,0.76,7.73,10.94,0.89,24.47,0.66,0.61,33.14,4.07,0.23,0.68,0.06,0.01,0.07,448,48,73,63,48,16,14,10,31,9.3333,9.3333,7.1111,1.3125,1.5208,1.3125,0.2540,0.3333,1.0000,0.2917,0.2083,0.1587,0.6458,0.4921,3
